IDENTIFIERS,,,,,TRIAD VARIABLE,INDIVIDUAL I.V.s: P1,,,INDIVIDUAL I.V.: P2,DYAD I.V.s: SYMMETRICAL,,,DYAD I.V.: ASSYMETRICAL,D.V.s: PRISONER'S DILEMMA PLAY,,D.V.s: WARMTH & COMPETENCE RATINGS,,,
original sort order,triad,code letters of P1 & P2,chairs of P1 & P2,P1 ID#,Sex,P1 childhood zip code income,P1 primary psychopathy,P1 secondary psychopathy,P2 facial attractiveness,cultural style similarity,language style matching score,common ground discovered,P2 interrupts P1,P1 PD toward P2,P2 PD toward P1,P1 rates P2's warmth,P1 rates P2's competence,P2 rates P1's warmth,P2 rates P1's competence
41,7,BC,CR,13255890,1,-0.47,0.21,1.29,-0.14,1.30,0.83,1,0.26,0,1,-0.71,-1.07,0.95,0.88
42,7,CB,RC,92195806,1,0.66,-0.45,0.07,-0.98,1.30,0.83,1,1.06,1,0,0.95,0.88,-0.71,-1.07
45,8,AC,LC,92143936,1,0.58,-0.84,-0.41,0.38,0.05,0.76,0,0.00,1,1,0.25,-0.37,0.68,1.16
46,8,CA,CL,64146937,1,1.13,-1.37,-0.66,1.86,0.05,0.76,0,0.29,1,1,0.68,1.16,0.25,-0.37
43,8,AB,LR,92143936,1,0.58,-0.84,-0.41,-0.04,-1.10,0.84,1,0.88,1,1,-1.51,0.94,0.89,-0.15
44,8,BA,RL,61353428,1,0.31,0.34,0.07,1.86,-1.10,0.84,1,0.58,1,1,0.89,-0.15,-1.51,0.94
48,8,CB,CR,64146937,1,1.13,-1.37,-0.66,-0.04,-0.75,0.79,0,0.00,1,1,1.27,1.16,-0.97,-1.13
47,8,BC,RC,61353428,1,0.31,0.34,0.07,0.38,-0.75,0.79,0,0.00,1,1,-0.97,-1.13,1.27,1.16
51,9,AC,LC,92160108,0,-1.55,1.13,1.54,-0.41,-0.04,0.84,1,0.61,0,0,0.63,0.12,-0.28,0.99
52,9,CA,CL,53373583,0,0.61,-0.05,-0.90,-0.81,-0.04,0.84,1,0.31,0,0,-0.28,0.99,0.63,0.12
49,9,AB,LR,92160108,0,-1.55,1.13,1.54,-1.22,-1.55,0.81,0,0.00,0,1,0.04,0.23,-0.12,0.72
50,9,BA,RL,64372634,0,-0.80,-0.32,-1.39,-0.81,-1.55,0.81,0,0.31,1,0,-0.12,0.72,0.04,0.23
54,9,CB,CR,53373583,0,0.61,-0.05,-0.90,-1.22,0.41,0.73,1,0.31,0,1,1.16,1.05,-0.71,0.94
53,9,BC,RC,64372634,0,-0.80,-0.32,-1.39,-0.41,0.41,0.73,1,0.31,1,0,-0.71,0.94,1.16,1.05
56,10,BA,LC,92128599,1,0.87,0.08,1.67,0.80,-0.66,0.85,1,0.53,1,1,-0.97,0.72,1.27,1.16
55,10,AB,CL,92122797,1,-0.47,-0.32,0.07,0.70,-0.66,0.85,1,0.26,1,1,1.27,1.16,-0.97,0.72
